Site ID,Hours of Inundation(hrs),Ratio of Damage(%),Loss(NPR),Level of Inundation(m),Combined effect of level and hour of inundation,Building Typology
110054,2,15.0,10000.0,0.2,0.4,Brick Masonry (Mud)
108830,2,15.0,10000.0,0.5,1.0,Brick Masonry (Mud)
110096,7,25.0,100000.0,0.75,5.25,Temporary / Thatched
109317,2,25.0,50000.0,1.05,2.1,Brick Masonry (Mud)
109272,2,25.0,50000.0,0.6,1.2,Brick Masonry (Mud)
173300,4,25.0,50000.0,0.7,2.8,Brick Masonry (Mud)
108867,3,23.0,35000.0,0.63,1.8900000000000001,Brick Masonry (Mud)
173305,10,50.0,50000.0,0.53,5.300000000000001,Temporary / Thatched
108906,4,23.0,0.0,0.35,1.4,Temporary / Thatched
108905,2,10.0,0.0,0.45,0.9,RCC Frame (Non-Engineered)
173306,2,35.0,45000.0,0.62,1.24,Temporary / Thatched
109331,2,5.0,0.0,0.49,0.98,Temporary / Thatched
109287,4,50.0,150000.0,0.76,3.04,Brick Masonry (Mud)
108158,4,50.0,40000.0,0.8,3.2,Temporary / Thatched
